,Period,Type,SubType,Generation
0,2006,Biomass,Biogas,54442.753425
1,2006,Biomass,Solid,266849.470716
2,2006,Biomass,Subtotal,321292.224141
3,2006,Geothermal,Subtotal,0
4,2006,Hydro,Subtotal,4088350.767
5,2006,Solar,Subtotal,1457
6,2006,Total,Subtotal,7743848.414173
7,2006,Waste,Subtotal,3056673.691032
8,2006,Wind,Offshore,0
9,2006,Wind,Onshore,276074.732
10,2006,Wind,Subtotal,276074.732
11,2007,Biomass,Biogas,55402.291352
12,2007,Biomass,Solid,246865.171468
13,2007,Biomass,Subtotal,302267.46282
14,2007,Geothermal,Subtotal,0
15,2007,Hydro,Subtotal,4417549.905
16,2007,Solar,Subtotal,2180
17,2007,Total,Subtotal,8324811.934704
18,2007,Waste,Subtotal,3163280.059884
19,2007,Wind,Offshore,0
20,2007,Wind,Onshore,439534.507
21,2007,Wind,Subtotal,439534.507
22,2008,Biomass,Biogas,45491.356724
23,2008,Biomass,Solid,226997.261293
24,2008,Biomass,Subtotal,272488.618017
25,2008,Geothermal,Subtotal,0
26,2008,Hydro,Subtotal,4305105.175
27,2008,Solar,Subtotal,4473.143
28,2008,Total,Subtotal,8259059.525998
29,2008,Waste,Subtotal,3088727.422981
30,2008,Wind,Offshore,0
31,2008,Wind,Onshore,588265.167
32,2008,Wind,Subtotal,588265.167
33,2009,Biomass,Biogas,41828.645578
34,2009,Biomass,Solid,187520.859995
35,2009,Biomass,Subtotal,229349.505573
36,2009,Geothermal,Subtotal,0
37,2009,Hydro,Subtotal,3748288.19
38,2009,Solar,Subtotal,9112.535
39,2009,Total,Subtotal,7809525.084796
40,2009,Waste,Subtotal,3036139.405223
41,2009,Wind,Offshore,0
42,2009,Wind,Onshore,786635.449
43,2009,Wind,Subtotal,786635.449
44,2010,Biomass,Biogas,35358.614348
45,2010,Biomass,Solid,234679.030936
46,2010,Biomass,Subtotal,270037.645284
47,2010,Geothermal,Subtotal,0
48,2010,Hydro,Subtotal,4194101.306
49,2010,Solar,Subtotal,21727.004
50,2010,Total,Subtotal,8639758.042542
51,2010,Waste,Subtotal,3127554.292258
52,2010,Wind,Offshore,0
53,2010,Wind,Onshore,1026337.795
54,2010,Wind,Subtotal,1026337.795
55,2011,Biomass,Biogas,26352.123952
56,2011,Biomass,Solid,209738.96334
57,2011,Biomass,Subtotal,236091.087292
58,2011,Geothermal,Subtotal,0
59,2011,Hydro,Subtotal,3999726.499
60,2011,Solar,Subtotal,61622.537
61,2011,Total,Subtotal,8987061.019836
62,2011,Waste,Subtotal,3196944.225544
63,2011,Wind,Offshore,0
64,2011,Wind,Onshore,1492676.671
65,2011,Wind,Subtotal,1492676.671
66,2012,Biomass,Biogas,23492.734747
67,2012,Biomass,Solid,218577.389997
68,2012,Biomass,Subtotal,242070.124744
69,2012,Geothermal,Subtotal,0
70,2012,Hydro,Subtotal,5669557.962
71,2012,Solar,Subtotal,159869.831
72,2012,Total,Subtotal,10662707.709069
73,2012,Waste,Subtotal,3177741.309325
74,2012,Wind,Offshore,0
75,2012,Wind,Onshore,1413468.482
76,2012,Wind,Subtotal,1413468.482
77,2013,Biomass,Biogas,23130.84752
78,2013,Biomass,Solid,205349.845969
79,2013,Biomass,Subtotal,228480.693489
80,2013,Geothermal,Subtotal,0
81,2013,Hydro,Subtotal,5422889.721
82,2013,Solar,Subtotal,321096.236
83,2013,Total,Subtotal,10858145.914143
84,2013,Waste,Subtotal,3245671.652654
85,2013,Wind,Offshore,0
86,2013,Wind,Onshore,1640007.611
87,2013,Wind,Subtotal,1640007.611
88,2014,Biomass,Biogas,20553.535016
89,2014,Biomass,Solid,231913.426565
90,2014,Biomass,Subtotal,252466.961581
91,2014,Geothermal,Subtotal,0
92,2014,Hydro,Subtotal,4317861.918
93,2014,Solar,Subtotal,528762.129
94,2014,Total,Subtotal,9925065.711755
95,2014,Waste,Subtotal,3325490.320174
96,2014,Wind,Offshore,0
97,2014,Wind,Onshore,1500484.383
98,2014,Wind,Subtotal,1500484.383
99,2015,Biomass,Biogas,21570.653329
100,2015,Biomass,Solid,227420.045409
101,2015,Biomass,Subtotal,248990.698738
102,2015,Geothermal,Subtotal,0
103,2015,Hydro,Subtotal,4470146.125
