site_id,name_zh,name_en,phase,capacity_mw,stakeholders,status,COD,offtaker,note
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,海能,Formosa 2,Phase 2-1,376,JERA(49%)/ GIP(26%)/ SRE(25%),wheeling,2023,,
6,海洋風電,Formosa 1,Phase 1,128,Orsted(35%)/ JERA(32.5%)/ Seagull(25%)/ SRE(7.5%),wheeling,2017,Taipower,
7,,,,,,,,,
8,渢妙,Fengmiao,Phase 3-1,500,CIP,issue NTP,,Google UMC SAS(w/ SES),
8,渢妙二號,Fengmaio II,Phase 3-2,600,CIP,sign administrative agreement,,,
9,,,,,,,,,
10,,,,,,,,,
11,海鼎一,Formosa 3,Phase 3-2,360,Corio/ Total Energy,cancel ,,,
12,大彰化西北,Greater Chunghwa NW,Phase 2-2,337.1,Orsted,under construction,,TSMC,
13,海廣,Formosa 6,Phase 3-2,800,SRE,sign administrative agreement,,,
14,大彰化西南第一期,Greater Chunghwa SW stage 1,Phase 2-1,294,Orsted,wheeling,2022,,
14,大彰化西南第二期,Greater Chunghwa SW stage 2,Phase 2-2,582.9,Orsted,under construction,,TSMC,
15,大彰化東南,Greater Chunghwa SE,Phase 2-1,605,Orsted/ CDPQ/ 國泰永續私募股權基金,wheeling,2022,,
16,達天,,Phase 3-1,165,wpd,cancel,,,
17,又德,Yuanta,Phase 3-2,700,Shinfox,sign administrative agreement,,,
18,海龍三號,Hai Long 3,Phase 2-2,504,Northland Power/ Yushan Energy/ Mitusi,under construction,,corporate offtaker (not disclosed),
19,海龍 2A,Hai Long 2A,Phase 2-1,294,Northland Power/ Yushan Energy/ Mitusi,under construction,,,
19,海龍 2B,Hai Long 2B,Phase 2-2,224,Northland Power/ Yushan Energy/ Mitusi,under construction,,corporate offtaker (not disclosed),
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,台電一期,,Phase 1,110,Taipower,wheeling,2021,,
26,離岸風力第二期計畫,Offshore Wind Generation Project Phase II,Phase 2-1,294.5,Taipower,under construction,,,
27,彰芳,,Phase 2-1,547.2,CIP/ 台灣人壽/ 全球人壽/ GPSC,wheeling,2024,,
28,海峽一期,,Phase 2-1 候補,300,力麗/ wpd,under construction,,,
28,海峽二期,,Phase 3-1,300,力麗/ wpd,sign administrative agreement,,,
29,中能,,Phase 2-1,300,中鋼(51%)/ CIP(49%),wheeling,2024,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,雲林(允能),Yunlin,Phase 2-1,640,skyborn/ TotalEnergies/ EGCO/ sojitz,wheeling,2025,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
