point_code,X,Y
1-1,301059.59,2801209.06
1-2,299421.29,2800061.91
1-3,299179.32,2798669.18
1-4,295325.83,2794699.67
1-5,292454.65,2794359.66
1-6,293026.55,2796370.88
1-7,294996.49,2798217.58
1-8,296057.07,2800286.82
1-9,297312.52,2801986.78
2-1,261251.96,2776502.94
2-2,261127.56,2776011.34
2-3,261697.63,2774528.78
2-4,256916.65,2771077.21
2-5,254793.86,2772846.83
2-6,251543.21,2770112.80
2-7,249667.52,2771514.54
2-8,250719.28,2772782.24
2-9,251684.35,2773642.92
2-10,253081.90,2774679.89
2-11,253979.79,2775847.98
2-12,257494.95,2778633.46
2-13,258067.43,2778915.66
2-14,258574.83,2779124.58
3-1,250522.95,2762506.67
3-2,248059.24,2759471.07
3-3,246673.74,2760209.21
3-4,245525.81,2758879.53
3-5,242765.81,2759932.24
3-6,246255.48,2765922.78
3-7,248218.95,2762561.17
3-8,247240.26,2760725.36
3-9,244662.83,2762014.08
3-10,245671.91,2763489.89
4-1,237391.25,2751210.58
4-2,235828.76,2748086.64
4-3,237633.09,2746963.93
4-4,236455.62,2743664.39
4-5,237095.66,2743368.78
4-6,233429.31,2737207.88
4-7,232508.64,2738256.54
4-8,236005.32,2742876.56
4-9,235976.31,2743883.34
4-10,234475.00,2744569.15
4-11,232235.60,2741184.82
4-12,230493.48,2742627.56
4-13,235272.13,2748272.51
4-14,234990.26,2749098.32
4-15,236242.56,2752112.76
5-1,232214.40,2741129.83
5-2,231277.42,2740167.93
5-3,231776.45,2739627.32
5-4,224913.68,2731838.12
5-5,224515.63,2732105.96
5-6,221590.53,2729032.40
5-7,220739.46,2729614.61
5-8,222685.42,2731509.97
5-9,223280.88,2733067.65
5-10,225260.72,2734817.01
5-11,225622.66,2737153.28
5-12,230451.67,2742576.32
6-1,222853.20,2728113.17
6-2,222543.01,2727698.36
6-3,223947.52,2726866.68
6-4,222790.69,2725451.43
6-5,220582.50,2726460.56
6-6,219150.45,2725798.26
6-7,218755.48,2724589.41
6-8,220850.03,2723153.15
6-9,220443.09,2722578.64
6-10,219796.77,2722961.65
6-11,217345.94,2721854.82
6-12,216506.23,2719642.57
6-13,215620.76,2719906.65
6-14,216726.82,2722702.88
6-15,218617.86,2725904.15
6-16,219041.03,2727242.50
6-17,220684.84,2729561.41
7-1,209355.73,2708979.29
7-2,207983.03,2705191.81
7-3,202664.80,2704316.57
7-4,203631.45,2705801.07
7-5,202505.57,2698354.47
7-6,201836.93,2697324.70
7-7,202829.12,2696693.50
7-8,199253.38,2691414.07
7-9,196814.71,2694909.03
7-10,201079.77,2700087.77
8-1,185654.13,2699144.79
8-2,185034.88,2697427.80
8-3,178039.12,2687893.49
8-4,169077.75,2689793.78
8-5,175051.01,2699413.78
9-1,149237.26,2693194.14
