Country,Type,Language,Description
Taiwan,summary,zh-TW,這是台灣的簡介區塊
Taiwan,summary,en,This is Taiwan summary section
Taiwan,On-site CPPA,zh-TW,要講台灣的On-site CPPA
Taiwan,On-site CPPA,en,here's for Taiwan On-site CPPA
Taiwan,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Taiwan,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Taiwan,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Taiwan,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Taiwan,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Taiwan,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Indonesia,summary,zh-TW,這是印尼的簡介區塊
Indonesia,summary,en,This is Indonesia summary section
Indonesia,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Indonesia,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Indonesia,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Indonesia,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Indonesia,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Indonesia,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Indonesia,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Indonesia,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Japan,summary,zh-TW,這是日本的簡介區塊
Japan,summary,en,This is Japan summary section
Japan,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Japan,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Japan,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Japan,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Japan,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Japan,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Japan,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Japan,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Malaysia,summary,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Malaysia,summary,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Malaysia,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Malaysia,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Malaysia,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Malaysia,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Malaysia,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Malaysia,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
